model,lang,family,derived,fertility,boundary_recall,n_gold_boundaries
google/gemma-2-2b,en,nom_tion,celebration,2,0.0,1
google/gemma-2-2b,en,nom_tion,decoration,1,0.0,1
google/gemma-2-2b,en,nom_tion,imagination,1,0.0,1
google/gemma-2-2b,en,nom_tion,examination,1,0.0,1
google/gemma-2-2b,en,plural_s,cats,1,0.0,1
google/gemma-2-2b,en,plural_s,books,1,0.0,1
google/gemma-2-2b,en,plural_s,trees,1,0.0,1
google/gemma-2-2b,en,plural_s,dogs,1,0.0,1
google/gemma-2-2b,en,plural_s,cars,1,0.0,1
google/gemma-2-2b,en,plural_s,colors,1,0.0,1
google/gemma-2-2b,en,plural_s,flowers,1,0.0,1
google/gemma-2-2b,en,plural_s,tables,1,0.0,1
google/gemma-2-2b,en,plural_s,doors,1,0.0,1
google/gemma-2-2b,en,plural_s,birds,1,0.0,1
google/gemma-2-2b,en,plural_s,rivers,1,0.0,1
google/gemma-2-2b,en,plural_s,roads,1,0.0,1
google/gemma-2-2b,en,plural_s,windows,1,0.0,1
google/gemma-2-2b,en,plural_s,hands,1,0.0,1
google/gemma-2-2b,en,plural_s,houses,1,0.0,1
google/gemma-2-2b,en,plural_s,chairs,1,0.0,1
google/gemma-2-2b,en,plural_s,phones,1,0.0,1
google/gemma-2-2b,en,plural_s,schools,1,0.0,1
google/gemma-2-2b,en,plural_s,friends,1,0.0,1
google/gemma-2-2b,en,plural_s,gardens,1,0.0,1
google/gemma-2-2b,en,plural_s,streets,1,0.0,1
google/gemma-2-2b,en,plural_s,keys,1,0.0,1
google/gemma-2-2b,en,plural_s,days,1,0.0,1
google/gemma-2-2b,en,plural_s,years,1,0.0,1
google/gemma-2-2b,en,plural_s,hours,1,0.0,1
google/gemma-2-2b,en,plural_s,rooms,1,0.0,1
google/gemma-2-2b,en,plural_s,words,1,0.0,1
google/gemma-2-2b,en,plural_s,names,1,0.0,1
google/gemma-2-2b,en,plural_s,games,1,0.0,1
google/gemma-2-2b,en,plural_s,eyes,1,0.0,1
google/gemma-2-2b,ca,gem_lla,col·legis,4,0.0,1
google/gemma-2-2b,ca,gem_lla,paral·lels,5,0.0,1
google/gemma-2-2b,ca,gem_lla,intel·lectuals,4,1.0,1
google/gemma-2-2b,ca,gem_lla,mil·lennis,4,0.0,1
google/gemma-2-2b,ca,gem_lla,excel·lents,4,0.0,1
google/gemma-2-2b,ca,gem_lla,el·lipses,4,0.0,1
google/gemma-2-2b,ca,gem_lla,novel·les,3,0.0,1
google/gemma-2-2b,ca,gem_lla,cèl·lules,5,0.0,1
google/gemma-2-2b,ca,gem_lla,síl·labes,5,0.0,1
google/gemma-2-2b,ca,gem_lla,aquarel·les,5,0.0,1
google/gemma-2-2b,ca,gem_lla,al·lèrgies,5,0.0,1
google/gemma-2-2b,ca,gem_lla,pel·lícules,4,0.0,1
google/gemma-2-2b,ca,cedilla,places,1,0.0,1
google/gemma-2-2b,ca,cedilla,caces,2,0.0,1
google/gemma-2-2b,ca,cedilla,forces,1,0.0,1
google/gemma-2-2b,ca,cedilla,peces,2,1.0,1
google/gemma-2-2b,ca,cedilla,llances,2,0.0,1
google/gemma-2-2b,ca,cedilla,esperances,2,0.0,1
google/gemma-2-2b,ca,cedilla,confiances,3,0.0,1
google/gemma-2-2b,ca,cedilla,feliços,3,0.0,1
google/gemma-2-2b,ca,cedilla,dolços,2,0.0,1
google/gemma-2-2b,ca,cedilla,audaços,2,0.0,1
google/gemma-2-2b,ca,cedilla,capaços,2,0.0,1
google/gemma-2-2b,ca,cedilla,esforços,3,0.0,1
google/gemma-2-2b,ca,cedilla,veloços,2,0.0,1
google/gemma-2-2b,ca,ny,anys,2,0.0,1
google/gemma-2-2b,ca,ny,punys,2,0.0,1
google/gemma-2-2b,ca,ny,estanys,2,0.0,1
google/gemma-2-2b,ca,ny,panys,2,0.0,1
google/gemma-2-2b,ca,ny,banys,2,0.0,1
google/gemma-2-2b,ca,ny,guanys,2,0.0,1
google/gemma-2-2b,ca,ny,muntanyes,3,1.0,1
google/gemma-2-2b,ca,ny,canyes,3,1.0,1
google/gemma-2-2b,ca,ny,vinyes,2,0.0,1
google/gemma-2-2b,ca,ny,llenyes,2,0.0,1
google/gemma-2-2b,ca,ny,companyies,2,0.0,1
google/gemma-2-2b,ca,ny,cabanyes,3,1.0,1
google/gemma-4-E2B,ca,ment,ràpidament,3,0.0,1
google/gemma-4-E2B,ca,ment,lentament,2,0.0,1
google/gemma-4-E2B,ca,ment,clarament,2,0.0,1
google/gemma-4-E2B,ca,ment,fàcilment,4,1.0,1
google/gemma-4-E2B,ca,ment,difícilment,4,1.0,1
google/gemma-4-E2B,ca,ment,fortament,2,0.0,1
google/gemma-4-E2B,ca,ment,dolçament,3,0.0,1
google/gemma-4-E2B,ca,ment,tristament,3,0.0,1
google/gemma-4-E2B,ca,ment,netament,2,0.0,1
google/gemma-4-E2B,ca,ment,segurament,3,0.0,1
google/gemma-4-E2B,ca,ment,precisament,3,0.0,1
google/gemma-4-E2B,ca,ment,normalment,2,1.0,1
google/gemma-4-E2B,ca,ment,generalment,2,1.0,1
google/gemma-4-E2B,ca,ment,públicament,3,0.0,1
google/gemma-4-E2B,ca,ment,bàsicament,4,0.0,1
google/gemma-4-E2B,ca,ment,directament,2,0.0,1
google/gemma-4-E2B,ca,ment,profundament,3,0.0,1
google/gemma-4-E2B,ca,ment,intensament,2,0.0,1
google/gemma-4-E2B,ca,ment,exactament,2,0.0,1
